,input,filtered,denoisedF,denoisedR,merged,nonchim
WS-19-4-B_R1_001.fastq.gz,52851,33764,6137,14676,598,598
WS-19-5-B_R1_001.fastq.gz,50963,36697,12607,25139,1024,1024
WS-20-1-B_R1_001.fastq.gz,24784,18267,23791,41868,2977,2977
WS-20-2-B_R1_001.fastq.gz,41462,29981,4241,12694,831,831
WS-20-3-B_R1_001.fastq.gz,65135,47902,220,633,17,17
WS-20-4-B_R1_001.fastq.gz,39880,15576,3151,5501,403,403
WS-20-5-B_R1_001.fastq.gz,11376,1870,6724,14280,1028,1028
WS-21-1-B_R1_001.fastq.gz,25202,6448,13332,25168,1485,1485
WS-21-2-B_R1_001.fastq.gz,35259,17082,12821,21510,1855,1762
WS-21-3-B_R1_001.fastq.gz,42746,28471,4447,5021,1606,1606
WS-21-4-B_R1_001.fastq.gz,36629,24770,21212,42044,2729,2729
WS-21-5-B_R1_001.fastq.gz,14880,5437,24477,37856,3601,3601
WS-2-1-B_R1_001.fastq.gz,75031,47747,5696,10874,915,915
WS-22-1-B_R1_001.fastq.gz,58211,41844,6008,12630,985,985
WS-22-2-B_R1_001.fastq.gz,30203,12931,8061,16690,1140,1140
WS-22-3-B_R1_001.fastq.gz,36662,14667,16354,28750,852,852
WS-22-4-B_R1_001.fastq.gz,34134,21256,6697,14234,735,735
WS-22-5-B_R1_001.fastq.gz,46769,33023,11393,20503,1155,1155
WS-2-2-B_R1_001.fastq.gz,26430,17296,10669,14283,1616,1616
WS-23-1-B_R1_001.fastq.gz,33411,23289,8461,12960,1145,1145
WS-23-2-B_R1_001.fastq.gz,22676,15744,23339,37061,2181,2181
WS-23-3-B_R1_001.fastq.gz,20082,14730,20408,24114,7530,7530
WS-23-4-B_R1_001.fastq.gz,54569,41007,1238,4136,224,224
WS-23-5-B_R1_001.fastq.gz,36854,25808,22008,33110,3326,3326
WS-2-3-B_R1_001.fastq.gz,14022,5574,13283,25409,1076,1076
WS-24-1-B_R1_001.fastq.gz,49571,36649,18607,29349,2212,2212
WS-24-2-B_R1_001.fastq.gz,38268,29091,18410,27204,3041,3041
WS-24-3-B_R1_001.fastq.gz,45267,32922,18891,27114,3725,3697
WS-24-4-B_R1_001.fastq.gz,39370,30247,3212,9767,564,564
WS-24-5-B_R1_001.fastq.gz,39320,29865,14477,21395,1867,1867
WS-2-4-B_R1_001.fastq.gz,15040,12471,18714,30356,3735,3564
